id_global,num_en_bloque,seccion,bloque,feature,estado,evidencia_backend,evidencia_frontend,tests,nota
1,1,SECCIÓN A — FOUNDER CATALOG (600),D1 — Inventario tiempo real,"CRUD proyectos (alta, edición, archivar, duplicar)",,,,,
2,2,SECCIÓN A — FOUNDER CATALOG (600),D1 — Inventario tiempo real,Bulk upload unidades vía Excel/CSV,,,,,
3,3,SECCIÓN A — FOUNDER CATALOG (600),D1 — Inventario tiempo real,"Estatus por unidad (Disponible, Apartado, Reservado, Vendido, Bloqueado)",,,,,
4,4,SECCIÓN A — FOUNDER CATALOG (600),D1 — Inventario tiempo real,"Esquemas de pago configurables (lista, 10/25/50/75% u otros)",,,,,
5,5,SECCIÓN A — FOUNDER CATALOG (600),D1 — Inventario tiempo real,Brochures por proyecto multi-archivo y versionado,,,,,
6,6,SECCIÓN A — FOUNDER CATALOG (600),D1 — Inventario tiempo real,Planos por tipo de unidad descargables,,,,,
7,7,SECCIÓN A — FOUNDER CATALOG (600),D1 — Inventario tiempo real,Datos bancarios pre-cargados (múltiples cuentas),,,,,
8,8,SECCIÓN A — FOUNDER CATALOG (600),D1 — Inventario tiempo real,Galería fotos del proyecto con orden manual,,,,,
9,9,SECCIÓN A — FOUNDER CATALOG (600),D1 — Inventario tiempo real,Tour virtual 360° por modelo de unidad,,,,,
10,10,SECCIÓN A — FOUNDER CATALOG (600),D1 — Inventario tiempo real,"Amenidades estructuradas con íconos (gym, alberca, roof garden)",,,,,
11,11,SECCIÓN A — FOUNDER CATALOG (600),D1 — Inventario tiempo real,"Tipos de unidad (recámaras, baños, m² constr/terraza, orientación, vista)",,,,,
12,12,SECCIÓN A — FOUNDER CATALOG (600),D1 — Inventario tiempo real,Geolocalización con mapa interactivo,,,,,
13,13,SECCIÓN A — FOUNDER CATALOG (600),D1 — Inventario tiempo real,"Fechas clave (inicio obra, entrega, escrituración)",,,,,
14,14,SECCIÓN A — FOUNDER CATALOG (600),D1 — Inventario tiempo real,Avance de obra mensual (foto + porcentaje + narrativa IA),,,,,
15,15,SECCIÓN A — FOUNDER CATALOG (600),D1 — Inventario tiempo real,"Permisos y certificados públicos (uso de suelo, manifestación)",,,,,
16,16,SECCIÓN A — FOUNDER CATALOG (600),D1 — Inventario tiempo real,Bloqueo temporal de unidad (apartado caduca X días),,,,,
17,17,SECCIÓN A — FOUNDER CATALOG (600),D1 — Inventario tiempo real,Histórico de cambios de precio por unidad,,,,,
18,18,SECCIÓN A — FOUNDER CATALOG (600),D1 — Inventario tiempo real,Histórico de cambios de estatus por unidad,,,,,
19,19,SECCIÓN A — FOUNDER CATALOG (600),D1 — Inventario tiempo real,"Roles internos del developer (admin, comercial, obras, marketing)",,,,,
20,20,SECCIÓN A — FOUNDER CATALOG (600),D1 — Inventario tiempo real,API/webhook para sincronizar con ERP existente,,,,,
21,1,SECCIÓN A — FOUNDER CATALOG (600),D2 — Dashboard absorción,Unidades vendidas por mes/trimestre/año,,,,,
22,2,SECCIÓN A — FOUNDER CATALOG (600),D2 — Dashboard absorción,Velocidad de venta (días promedio para vender una unidad),,,,,
23,3,SECCIÓN A — FOUNDER CATALOG (600),D2 — Dashboard absorción,Tendencia 6/12/24 meses,,,,,
24,4,SECCIÓN A — FOUNDER CATALOG (600),D2 — Dashboard absorción,Proyección IA cierre de inventario,,,,,
25,5,SECCIÓN A — FOUNDER CATALOG (600),D2 — Dashboard absorción,Comparativa vs proyectos pasados del mismo developer,,,,,
26,6,SECCIÓN A — FOUNDER CATALOG (600),D2 — Dashboard absorción,Comparativa vs benchmark de la zona,,,,,
27,7,SECCIÓN A — FOUNDER CATALOG (600),D2 — Dashboard absorción,Filtro por tipo de unidad (cuáles se venden más rápido),,,,,
28,8,SECCIÓN A — FOUNDER CATALOG (600),D2 — Dashboard absorción,Filtro por rango de precio,,,,,
29,9,SECCIÓN A — FOUNDER CATALOG (600),D2 — Dashboard absorción,Tasa conversión visita-a-reserva,,,,,
30,10,SECCIÓN A — FOUNDER CATALOG (600),D2 — Dashboard absorción,Tasa conversión reserva-a-contrato,,,,,
31,11,SECCIÓN A — FOUNDER CATALOG (600),D2 — Dashboard absorción,Tasa conversión contrato-a-escrituración,,,,,
32,12,SECCIÓN A — FOUNDER CATALOG (600),D2 — Dashboard absorción,Cohort analysis (cuándo entran leads vs cuándo cierran),,,,,
33,13,SECCIÓN A — FOUNDER CATALOG (600),D2 — Dashboard absorción,Heatmap calendario (qué semanas/meses son más fuertes),,,,,
34,14,SECCIÓN A — FOUNDER CATALOG (600),D2 — Dashboard absorción,Stock por torre/piso/orientación,,,,,
35,15,SECCIÓN A — FOUNDER CATALOG (600),D2 — Dashboard absorción,Alerta cuando ritmo cae bajo umbral,,,,,
36,16,SECCIÓN A — FOUNDER CATALOG (600),D2 — Dashboard absorción,Dashboard descargable PDF/Excel,,,,,
37,17,SECCIÓN A — FOUNDER CATALOG (600),D2 — Dashboard absorción,Vista comparativa multi-proyecto,,,,,
38,18,SECCIÓN A — FOUNDER CATALOG (600),D2 — Dashboard absorción,Win/loss analysis (por qué no cerraron leads),,,,,
39,19,SECCIÓN A — FOUNDER CATALOG (600),D2 — Dashboard absorción,Forecast vs actual con varianza,,,,,
40,20,SECCIÓN A — FOUNDER CATALOG (600),D2 — Dashboard absorción,Notificación push semanal del resumen,,,,,
41,1,SECCIÓN A — FOUNDER CATALOG (600),D3 — Competitor Radar,Mapa con todos los competidores en radio configurable,,,,,
42,2,SECCIÓN A — FOUNDER CATALOG (600),D3 — Competitor Radar,Lista con precio promedio por m² de cada uno,,,,,
43,3,SECCIÓN A — FOUNDER CATALOG (600),D3 — Competitor Radar,Estimación de absorción de cada competidor,,,,,
44,4,SECCIÓN A — FOUNDER CATALOG (600),D3 — Competitor Radar,Comparativa side-by-side tu proyecto vs top 3,,,,,
45,5,SECCIÓN A — FOUNDER CATALOG (600),D3 — Competitor Radar,"Filtro por tipo (vertical, horizontal, mixto)",,,,,
46,6,SECCIÓN A — FOUNDER CATALOG (600),D3 — Competitor Radar,"Filtro por etapa (preventa, en construcción, entrega)",,,,,
47,7,SECCIÓN A — FOUNDER CATALOG (600),D3 — Competitor Radar,Alerta cuando competidor lanza nuevo proyecto en tu zona,,,,,
48,8,SECCIÓN A — FOUNDER CATALOG (600),D3 — Competitor Radar,Alerta cuando competidor baja precio,,,,,
49,9,SECCIÓN A — FOUNDER CATALOG (600),D3 — Competitor Radar,Histórico precios competidor (12 meses),,,,,
50,10,SECCIÓN A — FOUNDER CATALOG (600),D3 — Competitor Radar,Análisis mix de unidades del competidor,,,,,
51,11,SECCIÓN A — FOUNDER CATALOG (600),D3 — Competitor Radar,Análisis amenidades del competidor (qué tienen que tú no),,,,,
52,12,SECCIÓN A — FOUNDER CATALOG (600),D3 — Competitor Radar,Reseñas/ratings públicos del developer competidor,,,,,
53,13,SECCIÓN A — FOUNDER CATALOG (600),D3 — Competitor Radar,Backlog estimado de inventario del competidor,,,,,
