var,usada_en_n,documentada_env_example,ejemplo_archivo
ACCURACY_DRIFT_WEIGHT,1,sí,backend/live_pulse_engine.py
ADMIN_ANALYTICS_TOKEN,1,sí,backend/routes/public.py
ADMIN_EMAIL,6,sí,backend/bulk_ingest_engine.py
ADMIN_PASSWORD,4,sí,backend/server.py
AGENT_WORKFORCE_DAILY_CAP_PER_TENANT,1,sí,backend/agent_workforce/agent_common.py
AI_BUDGET_DEFAULT_CAP_MXN,1,sí,backend/ai_budget.py
AI_DISABLED,1,sí,backend/ai_budget.py
AI_SEARCH_MAX_PER_DAY,1,sí,backend/routes/public.py
AI_SEARCH_MAX_PER_HOUR,1,sí,backend/routes/public.py
ALERT_EMAIL,5,sí,backend/ai_budget.py
ANTHROPIC_API_KEY,71,sí,backend/agentic_crm/argumentario_engine.py
APIFY_API_TOKEN,1,sí,backend/buyer_score_engine.py
APIFY_GOOGLE_TRENDS_ACTOR,1,sí,backend/apify_trends_engine.py
APIFY_MEMORY_MB,1,sí,backend/apify_trends_engine.py
APIFY_TIMEOUT_SECS,1,sí,backend/apify_trends_engine.py
APIFY_TOKEN,1,sí,backend/apify_trends_engine.py
APIFY_TRENDS_CACHE_DAYS,1,sí,backend/apify_trends_engine.py
APIFY_TRENDS_REAL,2,sí,backend/live_pulse_engine.py
APP_PUBLIC_BASE,1,sí,backend/resend_engine.py
ARGUMENTARIO_MODEL,1,sí,backend/agentic_crm/argumentario_engine.py
ASISTENTE_MODEL,2,sí,backend/asistente_engine.py
ASSET_UPLOAD_DIR,1,sí,backend/dev_assets.py
ATLAS_RESENAS_BASE_URL,1,sí,backend/reviews_residents_engine.py
ATLAS_RESENAS_ENABLED,1,sí,backend/reviews_residents_engine.py
AUTOPILOT_CONFIDENCE_MIN,1,sí,backend/auto_pilot_engine.py
AUTOPILOT_DAILY_CAP,1,sí,backend/auto_pilot_engine.py
BACKEND_PUBLIC_URL,1,sí,backend/drive_engine.py
BANXICO_TOKEN,2,sí,backend/banxico_rates.py
BEHAVIORAL_IP_SALT,1,sí,backend/behavioral_tracking_engine.py
BROCHURE_STORAGE_PATH,1,sí,backend/brochure_renderer.py
CASAMENTERA_CRON_TOKEN,1,sí,backend/routes/casamentera.py
CEREBRO_ENABLED,6,sí,backend/cerebro/__init__.py
CHURN_SALES_USER_IDS,2,sí,backend/churn_prediction_cron.py
CLEARBIT_API_KEY,1,sí,backend/lead_enrichment_engine.py
CLOUDFLARE_R2_ACCESS_KEY,3,sí,backend/studio_asset_library.py
CLOUDFLARE_R2_ACCOUNT_ID,3,sí,backend/studio_asset_library.py
CLOUDFLARE_R2_BUCKET,3,sí,backend/studio_asset_library.py
CLOUDFLARE_R2_PUBLIC_URL,1,sí,backend/studio_asset_library.py
CLOUDFLARE_R2_SECRET_KEY,3,sí,backend/studio_asset_library.py
CONFIDENCE_DAILY_CAP,1,sí,backend/conversation_engine.py
CONSTRUCTION_QUALITY_CACHE_TTL_DAYS,1,sí,backend/construction_quality_engine.py
CONVERSATION_HAIKU_MODEL,1,sí,backend/conversation_cost_optimizer.py
CONVERSATION_MODEL,1,sí,backend/conversation_engine.py
CONVERSATION_OPUS_MODEL,1,sí,backend/conversation_cost_optimizer.py
CONVERSATION_SONNET_MODEL,1,sí,backend/conversation_cost_optimizer.py
CORS_ORIGINS,1,sí,backend/server.py
COST_OPT_LONG_HISTORY,1,sí,backend/conversation_cost_optimizer.py
COST_OPT_SHORT_TEXT,1,sí,backend/conversation_cost_optimizer.py
CRON_SECRET,2,sí,backend/routes/copiloto_flywheel.py
CSRF_ALLOWED_ORIGINS,1,sí,backend/server.py
DB_NAME,28,sí,backend/conversation_hook_predictor.py
DIRECTOR_MAX_TOKENS_IN_T1,1,sí,backend/director_agent_engine.py
DIRECTOR_MAX_TOKENS_OUT_T1,1,sí,backend/director_agent_engine.py
DIRECTOR_MODEL,9,sí,backend/agentic_crm/disc_inferencer_engine.py
DISCORD_WEBHOOK_URL,1,sí,backend/marketing_mcp_engine.py
DI_UPLOAD_DIR,2,sí,backend/document_intelligence.py
DMX_API_KEY_PREFIX,1,sí,backend/public_api_auth.py
DMX_DEV_MODE,4,sí,backend/routes/auth.py
DMX_ENV,6,sí,backend/cerebro/executors.py
DMX_FALLBACK_WHATSAPP,2,sí,backend/routes/dev_batch4_1.py
DMX_MEMORY_DIR,1,sí,backend/studio_copy_generator/loader.py
DMX_ORG_ID,1,sí,backend/routes/whatsapp_copiloto.py
DMX_PUBLIC_URL,2,sí,backend/routes/watchlist.py
DMX_RELEASE,1,sí,backend/observability.py
ELEVENLABS_API_KEY,3,sí,backend/adapters/tts/elevenlabs.py
ELEVEN_LABS_API_KEY,1,sí,backend/voice_atlax_engine.py
ELEVEN_VOICE_ID,2,sí,backend/tests/wave4/test_voice_atlax_engine_unit.py
EMERGENT_LLM_KEY,2,sí,backend/tests/test_conversation_ml.py
ERP_WEBHOOK_SECRET,1,sí,backend/routes/dev_batch1.py
FAL_KEY,1,sí,backend/studio_engines.py
FEATURE_GATING_ENFORCED,1,sí,backend/feature_gate_engine.py
FOUNDER_ALERT_EMAIL,3,sí,backend/anomaly_detection_engine.py
FOURSQUARE_API_KEY,1,sí,backend/reviews_residents_engine.py
FREE_AUDIT_STORAGE,1,sí,backend/free_audit_engine.py
FRONTEND_BASE_URL,3,sí,backend/routes/auth.py
FRONTEND_PUBLIC_URL,1,sí,backend/routes/dev_batch4_3.py
FRONTEND_URL,3,sí,backend/drive_engine.py
GOOGLE_CSE_CX,1,sí,backend/reputation_monitor_engine.py
GOOGLE_CSE_KEY,1,sí,backend/reputation_monitor_engine.py
GOOGLE_INGEST_TOKEN,1,sí,backend/routes/public.py
GOOGLE_MAPS_API_KEY,1,sí,backend/google_places_ingest.py
GOOGLE_OAUTH_CLIENT_ID,2,sí,backend/drive_engine.py
GOOGLE_OAUTH_CLIENT_SECRET,2,sí,backend/drive_engine.py
GOOGLE_OAUTH_REDIRECT_URI,2,sí,backend/drive_engine.py
GOOGLE_PLACES_API_KEY,1,sí,backend/reviews_residents_engine.py
HOOK_PREDICTOR_DAILY_CAP_PER_TENANT,1,sí,backend/hook_predictor_engine.py
HOOK_PREDICTOR_THRESHOLD,1,sí,backend/hook_predictor_engine.py
IE_AIRROI_API_KEY,1,sí,backend/connectors_ie.py
IE_BANXICO_TOKEN,7,sí,backend/banxico_rates.py
IE_COLONIAS_CDMX_RESOURCE_ID,1,sí,backend/colonias_catalog.py
IE_COLONIAS_CDMX_URL,1,sí,backend/colonias_catalog.py
IE_DATOS_CDMX_BASE_URL,3,sí,backend/colonias_catalog.py
IE_DISABLE_CRON,1,sí,backend/scheduler_ie.py
IE_FERNET_KEY,5,sí,backend/document_intelligence.py
IE_FGJ_CDMX_RESOURCE_ID,3,sí,backend/colonias_catalog.py
IE_FRED_API_KEY,1,sí,backend/external_insights_engine.py
IE_GTFS_CDMX_URL,1,sí,backend/connectors_ie.py
IE_INEGI_AREA,1,sí,backend/gov_data_mx_engine.py
IE_INEGI_INDICADOR,1,sí,backend/gov_data_mx_engine.py
IE_INEGI_TOKEN,7,sí,backend/connector_registry.py
IE_LOCATEL_RESOURCE_ID,1,sí,backend/connectors_ie.py
IE_NOAA_API_KEY,1,sí,backend/connectors_ie.py
IE_NUMBEO_API_KEY,1,sí,backend/external_insights_engine.py
